accession,scientific_name,common_name,latitude,longitude
20100046*07,Acer rubrum,Red maple,42.7223703,-84.4777776
20100046*08,Acer rubrum,Red maple,42.7222951,-84.4777725
20100048*07,Acer rubrum,Red maple,42.722202,-84.478261
20100048*09,Acer rubrum,Red maple,42.721809,-84.47825
20100048*11,Acer rubrum,Red maple,42.721519,-84.478415
20100048*12,Acer rubrum,Red maple,42.7215274,-84.478473
20100048*13,Acer rubrum,Red maple,42.721971,-84.477779
20100048*14,Acer rubrum,Red maple,42.722081,-84.477777
CC1719*01,Acer rubrum,Red maple,42.727157,-84.480918
CC1719*02,Acer rubrum,Red maple,42.727285,-84.480601
CC2943*01,Acer rubrum,Red maple,42.726411,-84.469199
CC2943*02,Acer rubrum,Red maple,42.726363,-84.469338
CC2943*03,Acer rubrum,Red maple,42.72615,-84.469305
CC6250*01,Acer rubrum,Red maple,42.731992,-84.473052
CC6281*01,Acer rubrum,Red maple,42.730752,-84.473279
CC6281*02,Acer rubrum,Red maple,42.730747,-84.473161
CC6341*01,Acer rubrum,Red maple,42.730746,-84.473533
CC8185*03,Acer rubrum,Red maple,42.723318,-84.485613
CC0007*01,Acer saccharinum,Silver maple,42.732176,-84.485368
CC0014*01,Acer saccharinum,Silver maple,42.73244,-84.486072
CC0015*01,Acer saccharinum,Silver maple,42.732518,-84.486213
CC1061*01,Acer saccharinum,Silver maple,42.729748,-84.481062
CC1729*01,Acer saccharinum,Silver maple,42.72753,-84.48058
CC4350*01,Acer saccharinum,Silver maple,42.728535,-84.480221
CC4532*01,Acer saccharinum,Silver maple,42.731688,-84.486775
CC4536*01,Acer saccharinum,Silver maple,42.731488,-84.486446
CC5989*01,Acer saccharinum,Silver maple,42.727365,-84.481279
CC6369*01,Acer saccharinum,Silver maple,42.728462,-84.473202
CC6369*03,Acer saccharinum,Silver maple,42.728487,-84.473376
CC6826*01,Acer saccharinum,Silver maple,42.73169,-84.491279
CC9673*01,Acer saccharinum,Silver maple,42.7319444,-84.4869444
CC9722*01,Acer saccharinum,Silver maple,42.720862,-84.489278
CC9876*01,Acer saccharinum,Silver maple,42.72909,-84.48174
CC1032*01,Acer saccharum,Sugar maple,42.729464,-84.481863
CC4331*01,Acer saccharum,Sugar maple,42.729347,-84.481565
CC4333*01,Acer saccharum,Sugar maple,42.729517,-84.482074
CC4423*01,Acer saccharum,Sugar maple,42.73047,-84.478197
