"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
16,2021-09-10 15:49:25,2021-09-10 15:50:02,17577990,"2021-01","Acer rubrum","CC2943*01",,,,,,,,,,,"20","5",2021-09-10,
17,2021-09-10 15:50:07,2021-09-10 15:51:26,17577990,"2021-01","Pinus strobus",,,,,,,"CC5067*01",,,,,"5","30",2021-09-10,
18,2021-09-12 09:44:23,2021-09-12 09:45:16,79300327,"2021-02","Acer saccharum",,"CC1032*01",,,,,,,,,,"0","0",2021-09-12,"The tree was all green. There was no other color, and the tree had no leaves fallen off of it yet."
19,2021-09-12 09:45:21,2021-09-12 09:48:56,79300327,"2021-02","Fagus grandifolia/sylvatica",,,,"CC0255*01",,,,,,,,"0","0",2021-09-12,"No leaves turned a different color, it was completely green. There was also no fallen leaves on the ground."
20,2021-09-12 15:19:18,2021-09-12 15:22:14,71574829,"2021-02","Acer rubrum","CC2943*02",,,,,,,,,,,"1","0",2021-09-12,
21,2021-09-12 15:22:22,2021-09-12 15:23:36,71574829,"2021-02","Platanus occidentalis",,,,,,,,"CC5484*02",,,,"2","1",2021-09-12,
22,2021-09-12 15:18:51,2021-09-12 15:24:36,40521487,"2021-01","Acer rubrum","CC2943*01",,,,,,,,,,,"98","0",2021-09-12,
23,2021-09-12 15:24:41,2021-09-12 15:25:40,40521487,"2021-01","Acer rubrum","CC2943*02",,,,,,,,,,,"99","0",2021-09-12,
24,2021-09-12 15:32:19,2021-09-12 15:33:08,49407593,"2021-01","Acer rubrum","CC6250*01",,,,,,,,,,,"1","1",2021-09-12,
25,2021-09-12 15:33:16,2021-09-12 15:34:36,49407593,"2021-01","Fagus grandifolia/sylvatica",,,,"CC6260*01",,,,,,,,"1","1",2021-09-12,
26,2021-09-12 16:25:54,2021-09-12 18:07:01,72738609,"2021-01","Cornus florida",,,"CC1720*03",,,,,,,,,"20","5",2021-09-12,"The leaves of the top of the tree started to become red."
27,2021-09-12 18:07:07,2021-09-12 18:08:29,72738609,"2021-01","Acer rubrum","CC6250*01",,,,,,,,,,,"10","1",2021-09-12,"One part of the leaves of the tree got red."
