"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2022-10-30 11:49:22,2022-10-30 11:50:01,22572176,"2022-01","Cornus florida",,,"20110608*01",,,,,,,,,"2","20",2022-10-30,
2,2022-10-30 11:50:05,2022-10-30 11:50:40,22572176,"2022-01","Fagus grandifolia/sylvatica",,,,"CC1245*01",,,,,,,,"15","15",2022-10-30,
3,2022-10-30 12:49:45,2022-10-30 12:51:32,14644423,"2022-02","Acer rubrum","CC6250*01",,,,,,,,,,,"100","100",2022-10-30,
4,2022-10-30 12:51:45,2022-10-30 12:52:15,14644423,"2022-02","Acer saccharum",,"CC6259*04",,,,,,,,,,"100","50",2022-10-30,
5,2022-10-30 15:29:15,2022-10-30 15:31:56,71211445,"2022-01","Platanus occidentalis",,,,,,,,"CC0402*01",,,,"80","3",2022-10-30,
6,2022-10-30 15:32:00,2022-10-30 15:33:12,71211445,"2022-01","Metasequoia glyptostroboides",,,,,"20080508*01",,,,,,,"20","60",2022-10-30,
7,2022-10-31 09:05:13,2022-10-31 09:09:45,80851021,"2022-01","Platanus occidentalis",,,,,,,,"CC2662*01",,,,"90","10",2022-10-31,
8,2022-10-31 09:09:50,2022-10-31 09:11:16,80851021,"2022-01","Platanus occidentalis",,,,,,,,"CC2662*02",,,,"97","15",2022-10-31,
9,2022-10-31 09:15:01,2022-10-31 09:22:06,33325602,"2022-01","Ulmus americana",,,,,,,,,,,"CC5425*16","100","97",2022-10-31,
10,2022-10-31 09:22:10,2022-10-31 09:24:00,33325602,"2022-01","Ostrya virginiana",,,,,,"20090257*02",,,,,,"100","99",2022-10-31,
11,2022-10-31 11:04:31,2022-10-31 11:07:58,76160603,"2022-02","Cornus florida",,,"CC1720*01",,,,,,,,,"100","80",2022-10-31,"Mostly all the leaves fell"
12,2022-10-31 11:17:01,2022-10-31 11:17:51,97895001,"2022-01","Ostrya virginiana",,,,,,"20090257*04",,,,,,"100","80",2022-10-31,
13,2022-10-31 11:17:55,2022-10-31 11:18:26,97895001,"2022-01","Ostrya virginiana",,,,,,"20090257*06",,,,,,"100","50",2022-10-31,
14,2022-10-31 11:48:28,2022-10-31 11:49:48,97033905,"2022-01","Pinus strobus",,,,,,,"CC4676*01",,,,,"6","2",2022-10-31,
15,2022-10-31 11:49:58,2022-10-31 11:50:36,97033905,"2022-01","Pinus strobus",,,,,,,"CC4676*02",,,,,"6","3",2022-10-31,
16,2022-10-31 11:51:39,2022-10-31 11:52:14,37368794,"2022-01","Cornus florida",,,"CC1741*01",,,,,,,,,"100","97",2022-10-31,"n/a"
17,2022-10-31 11:52:17,2022-10-31 11:53:17,37368794,"2022-01","Pinus strobus",,,,,,,"CC4611*01",,,,,"0","0",2022-10-31,"n/a"
18,2022-10-31 12:21:28,2022-10-31 12:22:52,91684787,"2022-03","Metasequoia glyptostroboides",,,,,"CC0074*01",,,,,,,"40","7",2022-10-31,
