"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2022-11-20 14:17:47,2022-11-20 14:18:28,14644423,"2022-02","Acer rubrum","CC6250*01",,,,,,,,,,,"100","100",2022-11-20,
2,2022-11-20 14:18:30,2022-11-20 14:18:58,14644423,"2022-02","Acer saccharum",,"CC6259*04",,,,,,,,,,"100","99",2022-11-20,
3,2022-11-21 09:35:45,2022-11-21 09:37:30,20022509,"2022-02","Ulmus americana",,,,,,,,,,,"CC5459*02","100","100",2022-11-21,
4,2022-11-21 09:37:33,2022-11-21 09:38:04,20022509,"2022-02","Quercus alba",,,,,,,,,"CC4955*01",,,"100","90",2022-11-21,
5,2022-11-21 10:44:41,2022-11-21 10:45:09,76160603,"2022-02","Cornus florida",,,"CC1720*01",,,,,,,,,"0","100",2022-11-21,"All the leaves fell"
6,2022-11-21 11:52:59,2022-11-21 11:55:59,68205521,"2022-03","Quercus alba",,,,,,,,,"CC0239*01",,,"100","96",2022-11-21,
7,2022-11-21 11:56:11,2022-11-21 11:57:10,68205521,"2022-03","Quercus alba",,,,,,,,,"CC0253*01",,,"100","95",2022-11-21,
8,2022-11-21 12:01:14,2022-11-21 12:02:41,65254846,"2022-03","Cornus florida",,,"CC2202*01",,,,,,,,,"100","100",2022-11-21,
9,2022-11-21 12:33:15,2022-11-21 12:33:54,68266456,"2022-03","Acer saccharum",,"CC5899*02",,,,,,,,,,"0","100",2022-11-21,
10,2022-11-21 12:33:58,2022-11-21 12:34:22,68266456,"2022-03","Acer rubrum","CC1719*01",,,,,,,,,,,"0","100",2022-11-21,
11,2022-11-21 12:33:44,2022-11-21 12:37:07,37051167,"2022-03","Fagus grandifolia/sylvatica",,,,"20130268*01",,,,,,,,"100","50",2022-11-21,
12,2022-11-21 12:40:56,2022-11-21 12:42:26,83592166,"2022-03","Cornus florida",,,"CC0549*01",,,,,,,,,"100","100",2022-11-21,
13,2022-11-21 12:37:23,2022-11-21 12:42:49,37051167,"2022-03","Ostrya virginiana",,,,,,"CC1320*01",,,,,,"100","98",2022-11-21,
14,2022-11-21 12:42:30,2022-11-21 12:44:21,83592166,"2022-03","Metasequoia glyptostroboides",,,,,"CC1126*01",,,,,,,"100","50",2022-11-21,
15,2022-11-21 12:46:03,2022-11-21 12:47:38,16041831,"2022-03","Fagus grandifolia/sylvatica",,,,"20130268*01",,,,,,,,"100","64",2022-11-21,
16,2022-11-21 12:48:05,2022-11-21 12:49:12,16041831,"2022-03","Cornus florida",,,"20160323*01",,,,,,,,,"100","100",2022-11-21,
17,2022-11-21 13:04:43,2022-11-21 13:06:12,10686258,"2022-03","Platanus occidentalis",,,,,,,,"CC5971*01",,,,"33","4",2022-11-21,
