"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2022-12-04 12:38:56,2022-12-04 12:40:03,14644423,"2022-02","Acer rubrum","CC6250*01",,,,,,,,,,,"100","100",2022-12-04,
2,2022-12-04 12:40:12,2022-12-04 12:40:54,14644423,"2022-02","Acer saccharum",,"CC6259*04",,,,,,,,,,"100","100",2022-12-04,
3,2022-12-05 10:01:30,2022-12-05 10:01:58,70796383,"2022-02","Acer rubrum","CC2943*02",,,,,,,,,,,"100","100",2022-12-05,
4,2022-12-05 10:02:01,2022-12-05 10:02:30,70796383,"2022-02","Pinus strobus",,,,,,,"98P136*01",,,,,"3","5",2022-12-05,
5,2022-12-05 12:01:05,2022-12-05 12:01:54,51159262,"2022-02","Cornus florida",,,"CC0549*01",,,,,,,,,"100","100",2022-12-05,
6,2022-12-05 12:02:12,2022-12-05 12:02:56,51159262,"2022-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"100","100",2022-12-05,
7,2022-12-05 13:01:04,2022-12-05 13:01:41,76160603,"2022-02","Cornus florida",,,"CC1720*01",,,,,,,,,"0","100",2022-12-05,"All leaves fell off the tree"
8,2022-12-06 11:42:11,2022-12-06 11:45:27,76160603,"2022-02","Fagus grandifolia/sylvatica",,,,"CC1245*01",,,,,,,,"30","70",2022-12-06,"Most of the tree leaves fell"
9,2022-12-06 12:13:09,2022-12-06 12:13:28,51419026,"2022-02","Cornus florida",,,"CC0549*01",,,,,,,,,"100","100",2022-12-06,
10,2022-12-06 12:13:40,2022-12-06 12:14:11,51419026,"2022-02","Fagus grandifolia/sylvatica",,,,"CC0255*01",,,,,,,,"100","100",2022-12-06,
