"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2022-09-04 11:01:59,2022-09-04 11:05:34,76160603,"2022-02","Cornus florida",,,"CC1720*01",,,,,,,,,"9","8",2022-09-04,
2,2022-09-05 14:36:55,2022-09-05 14:40:23,70796383,"2022-02","Acer rubrum","CC2943*01",,,,,,,,,,,"10","0",2022-09-04,
3,2022-09-05 14:40:26,2022-09-05 14:41:52,70796383,"2022-02","Pinus strobus",,,,,,,"98P136*01",,,,,"0","0",2022-09-04,
4,2022-09-05 18:39:40,2022-09-05 18:46:21,59218488,"2022-02","Cornus florida",,,"CC2202*01",,,,,,,,,"0","0",2022-09-05,
5,2022-09-05 18:46:26,2022-09-05 18:50:16,59218488,"2022-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"0","2",2022-09-05,
6,2022-09-05 18:50:19,2022-09-05 18:51:24,59218488,"2022-02","Ostrya virginiana",,,,,,"20090303*05",,,,,,"2","2",2022-09-05,
7,2022-09-05 18:51:26,2022-09-05 18:52:09,59218488,"2022-02","Cornus florida",,,"CC1849*01",,,,,,,,,"3","0",2022-09-05,
8,2022-09-06 11:29:55,2022-09-06 11:37:25,51419026,"2022-02","Cornus florida",,,"CC0549*01",,,,,,,,,"100","0",2022-09-06,
9,2022-09-06 11:37:48,2022-09-06 11:44:01,51419026,"2022-02","Fagus grandifolia/sylvatica",,,,"CC0255*01",,,,,,,,"100","0",2022-09-06,
10,2022-09-06 14:34:09,2022-09-06 14:38:43,14644423,"2022-02","Acer rubrum","CC6250*01",,,,,,,,,,,"0","0",2022-09-06,
11,2022-09-06 14:38:47,2022-09-06 14:39:25,14644423,"2022-02","Acer saccharum",,"CC6259*04",,,,,,,,,,"0","0",2022-09-06,
12,2022-09-06 14:52:49,2022-09-06 14:56:05,81315866,"2022-02","Ulmus americana",,,,,,,,,,,"CC6397*02","3","0",2022-09-06,
13,2022-09-06 14:56:16,2022-09-06 15:02:27,81315866,"2022-02","Quercus alba",,,,,,,,,"CC6390*01",,,"1","0",2022-09-06,
14,2022-09-06 15:11:59,2022-09-06 15:13:22,12269498,"2022-02","Acer rubrum","CC6281*02",,,,,,,,,,,"1","0",2022-09-06,
15,2022-09-06 15:13:28,2022-09-06 15:14:11,12269498,"2022-02","Ulmus americana",,,,,,,,,,,"CC6249*01","0","0",2022-09-06,
16,2022-09-06 15:09:00,2022-09-06 15:17:40,18245948,"2022-02","Acer rubrum","CC2943*01",,,,,,,,,,,"33","0",2022-09-06,
17,2022-09-06 15:13:31,2022-09-06 15:19:57,36558972,"2022-03","Cornus florida",,,"CC6272*01",,,,,,,,,"1","0",2022-09-06,
18,2022-09-06 15:17:43,2022-09-06 15:20:45,18245948,"2022-02","Platanus occidentalis",,,,,,,,"CC0402*01",,,,"0","3",2022-09-06,
19,2022-09-06 15:20:04,2022-09-06 15:21:51,36558972,"2022-03","Acer rubrum","CC6281*01",,,,,,,,,,,"0","1",2022-09-06,
