"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2022-09-25 10:49:33,2022-09-25 10:51:49,76160603,"2022-02","Cornus florida",,,"CC1720*01",,,,,,,,,"9","13",2022-09-25,"Some of the leaves is half green half purple so would I count that we not being fully green?"
2,2022-09-25 11:15:33,2022-09-25 11:16:30,14644423,"2022-02","Acer rubrum","CC6250*01",,,,,,,,,,,"0","0",2022-09-25,
3,2022-09-25 11:16:33,2022-09-25 11:17:17,14644423,"2022-02","Acer saccharum",,"CC6259*04",,,,,,,,,,"2","1",2022-09-25,
4,2022-09-25 12:01:32,2022-09-25 12:01:47,91270883,"2022-01","Quercus alba",,,,,,,,,"CC4600*01",,,"0","1",2022-09-25,
5,2022-09-25 12:02:00,2022-09-25 12:03:03,91270883,"2022-01","Metasequoia glyptostroboides",,,,,"20080508*03",,,,,,,"0","0",2022-09-25,
6,2022-09-25 15:41:55,2022-09-25 15:46:53,96330261,"2022-01","Quercus alba",,,,,,,,,"20050360*10",,,"0","5",2022-09-25,
7,2022-09-25 15:46:58,2022-09-25 15:49:19,96330261,"2022-01","Quercus rubra",,,,,,,,,,"CC0288*01",,"5","10",2022-09-25,
8,2022-09-25 19:27:51,2022-09-25 19:30:15,70796383,"2022-02","Acer rubrum","CC2943*02",,,,,,,,,,,"10","14",2022-09-25,
9,2022-09-25 19:30:19,2022-09-25 19:31:36,70796383,"2022-02","Pinus strobus",,,,,,,"98P136*01",,,,,"16","20",2022-09-25,
10,2022-09-25 21:00:52,2022-09-25 21:01:09,42203103,"2022-01","Fagus grandifolia/sylvatica",,,,"CC1623*01",,,,,,,,"0","0",2022-09-27,
11,2022-09-25 21:01:15,2022-09-25 21:01:55,42203103,"2022-01","Quercus rubra",,,,,,,,,,"89P063*01",,"0","0",2022-09-25,
12,2022-09-25 21:17:44,2022-09-25 21:20:48,38566499,"2022-01","Fagus grandifolia/sylvatica",,,,"20130268*03",,,,,,,,"4","0",2022-09-25,
13,2022-09-25 21:21:00,2022-09-25 21:22:17,38566499,"2022-01","Pinus strobus",,,,,,,"CC4676*02",,,,,"0","0",2022-09-25,
14,2022-09-25 21:47:01,2022-09-25 21:49:21,52311769,"2022-01","Fagus grandifolia/sylvatica",,,,"20070154*04",,,,,,,,"15","25",2022-09-21,
15,2022-09-25 21:49:24,2022-09-25 21:51:36,52311769,"2022-01","Platanus occidentalis",,,,,,,,"CC5971*01",,,,"2","5",2022-09-21,
16,2022-09-25 21:47:54,2022-09-25 21:52:21,90869537,"2022-01","Ostrya virginiana",,,,,,"20070191*01",,,,,,"60","15",2022-09-15,
17,2022-09-25 21:58:29,2022-09-25 21:59:06,90869537,"2022-01","Quercus alba",,,,,,,,,"CC4955*02",,,"5","8",2022-09-23,
18,2022-09-25 23:21:38,2022-09-25 23:25:16,35552042,"2022-01","Ulmus americana",,,,,,,,,,,"CC6397*02","0","15",2022-09-25,
19,2022-09-25 23:25:20,2022-09-25 23:30:55,35552042,"2022-01","Quercus alba",,,,,,,,,"CC6390*01",,,"0","20",2022-09-25,
20,2022-09-26 08:51:17,2022-09-26 08:53:17,30756387,"2022-01","Fagus grandifolia/sylvatica",,,,"20130268*01",,,,,,,,"0","1",2022-09-26,
21,2022-09-26 08:54:04,2022-09-26 08:54:35,30756387,"2022-01","Fagus grandifolia/sylvatica",,,,"20130268*03",,,,,,,,"0","3",2022-09-26,
22,2022-09-26 10:05:09,2022-09-26 10:07:30,33325602,"2022-01","Ulmus americana",,,,,,,,,,,"CC5425*16","5","3",2022-09-26,
23,2022-09-26 10:07:36,2022-09-26 10:09:35,33325602,"2022-01","Ostrya virginiana",,,,,,"20090257*02",,,,,,"3","7",2022-09-26,
24,2022-09-26 10:25:08,2022-09-26 10:26:45,55193404,"2022-03","Ulmus americana",,,,,,,,,,,"CC6270*01","2","2",2022-09-26,
25,2022-09-26 10:26:50,2022-09-26 10:27:22,55193404,"2022-03","Acer saccharum",,"CC6259*03",,,,,,,,,,"2","2",2022-09-26,
26,2022-09-26 11:47:16,2022-09-26 11:49:38,78067176,"2022-03","Ulmus americana",,,,,,,,,,,"CC4653*01","3","3",2022-09-26,
27,2022-09-26 11:49:42,2022-09-26 11:50:24,78067176,"2022-03","Ulmus americana",,,,,,,,,,,"CC4656*01","4","4",2022-09-26,
28,2022-09-26 11:53:15,2022-09-26 11:54:32,37368794,"2022-01","Cornus florida",,,"CC1741*01",,,,,,,,,"5","0",2022-09-26,"n/a"
29,2022-09-26 11:54:37,2022-09-26 11:55:19,37368794,"2022-01","Pinus strobus",,,,,,,"CC4611*01",,,,,"0","0",2022-09-26,"n/a"
30,2022-09-26 11:55:39,2022-09-26 11:56:31,97033905,"2022-01","Pinus strobus",,,,,,,"CC4676*01",,,,,"0","0",2022-09-26,
31,2022-09-26 11:56:35,2022-09-26 11:57:06,97033905,"2022-01","Pinus strobus",,,,,,,"CC4676*02",,,,,"0","0",2022-09-26,
32,2022-09-26 12:07:36,2022-09-26 12:08:46,49566297,"2022-01","Quercus rubra",,,,,,,,,,"20080059*14",,"10","2",2022-09-26,
33,2022-09-26 12:16:07,2022-09-26 12:17:07,49566297,"2022-01","Fagus grandifolia/sylvatica",,,,"CC6260*01",,,,,,,,"1","5",2022-09-26,
34,2022-09-26 12:28:32,2022-09-26 12:30:19,91684787,"2022-03","Metasequoia glyptostroboides",,,,,"CC0074*01",,,,,,,"0","0",2022-09-26,
35,2022-09-26 12:30:22,2022-09-26 12:31:37,91684787,"2022-03","Ostrya virginiana",,,,,,"CC9244*01",,,,,,"4","1",2022-09-26,
36,2022-09-26 12:39:32,2022-09-26 12:41:12,33573738,"2022-03","Metasequoia glyptostroboides",,,,,"20080508*01",,,,,,,"2","50",2022-09-26,
37,2022-09-26 12:41:16,2022-09-26 12:42:20,33573738,"2022-03","Quercus alba",,,,,,,,,"CC0320*01",,,"2","10",2022-09-26,
38,2022-09-26 12:48:53,2022-09-26 12:50:20,20433755,"2022-01","Acer rubrum","CC2943*01",,,,,,,,,,,"38","20",2022-09-26,
39,2022-09-26 12:41:37,2022-09-26 12:51:02,60565243,"2022-03","Acer saccharum",,"CC6259*03",,,,,,,,,,"15","5",2022-09-26,
40,2022-09-26 12:46:20,2022-09-26 12:51:54,70193376,"2022-01","Fagus grandifolia/sylvatica",,,,"20130268*01",,,,,,,,"10","10",2022-09-26,"Tree still very full of leaves but leaves are starting to turn color a little."
41,2022-09-26 12:51:08,2022-09-26 12:52:28,60565243,"2022-03","Acer saccharum",,"CC6403*01",,,,,,,,,,"5","10",2022-09-26,
42,2022-09-26 12:50:23,2022-09-26 12:52:31,20433755,"2022-01","Acer rubrum","CC2943*02",,,,,,,,,,,"5","10",2022-09-26,
43,2022-09-26 13:04:12,2022-09-26 13:05:33,70193376,"2022-01","Metasequoia glyptostroboides",,,,,"CC1126*01",,,,,,,"15","20",2022-09-26,"More leaves have fallen off towards back of tree so does not look nearly as full as the weeks prior. Leaves are starting to turn to a yellowish color"
44,2022-09-26 13:11:12,2022-09-26 13:12:44,80851021,"2022-01","Platanus occidentalis",,,,,,,,"CC2662*01",,,,"0","0",2022-09-26,
45,2022-09-26 13:12:47,2022-09-26 13:13:48,80851021,"2022-01","Platanus occidentalis",,,,,,,,"CC2662*02",,,,"0","0",2022-09-26,
46,2022-09-26 13:16:03,2022-09-26 13:23:09,88919043,"2022-02","Metasequoia glyptostroboides",,,,,"CC1126*01",,,,,,,"0.03","0.01",2022-09-26,
47,2022-09-26 14:18:13,2022-09-26 14:20:39,34350695,"2022-01","Quercus rubra",,,,,,,,,,"89P063*08",,"5","5",2022-09-26,
48,2022-09-26 14:20:43,2022-09-26 14:21:32,34350695,"2022-01","Acer saccharum",,"CC5899*02",,,,,,,,,,"4","3",2022-09-26,
49,2022-09-26 14:34:25,2022-09-26 14:37:01,90428468,"2022-01","Quercus alba",,,,,,,,,"CC0320*01",,,"35","5",2022-09-26,
50,2022-09-26 14:37:05,2022-09-26 14:37:46,90428468,"2022-01","Ulmus americana",,,,,,,,,,,"CC4656*01","5","5",2022-09-26,
51,2022-09-26 15:16:11,2022-09-26 15:17:54,88919043,"2022-02","Pinus strobus",,,,,,,"CC4676*03",,,,,"0","0.04",2022-09-26,
52,2022-09-26 15:58:20,2022-09-26 16:00:39,72670152,"2022-02","Pinus strobus",,,,,,,"CC4676*02",,,,,"0","2",2022-09-26,
53,2022-09-26 16:00:43,2022-09-26 16:05:00,72670152,"2022-02","Ulmus americana",,,,,,,,,,,"CC4653*01","5","4",2022-09-26,
54,2022-09-26 16:02:36,2022-09-26 16:05:59,64212634,"2022-01","Ostrya virginiana",,,,,,"20090303*05",,,,,,"12","15",2022-09-26,
55,2022-09-26 16:06:04,2022-09-26 16:07:15,64212634,"2022-01","Cornus florida",,,"CC1849*01",,,,,,,,,"25","12",2022-09-26,
56,2022-09-26 16:15:08,2022-09-26 16:17:56,79486468,"2022-02","Pinus strobus",,,,,,,"CC4676*01",,,,,"0","0",2022-09-26,
57,2022-09-26 16:18:01,2022-09-26 16:19:09,79486468,"2022-02","Ulmus americana",,,,,,,,,,,"CC4662*01","5","5",2022-09-26,
58,2022-09-26 16:26:25,2022-09-26 16:28:20,62119424,"2022-01","Pinus strobus",,,,,,,"CC6484*01",,,,,"0","0",2022-09-26,
59,2022-09-26 16:28:23,2022-09-26 16:29:25,62119424,"2022-01","Fagus grandifolia/sylvatica",,,,"CC6328*01",,,,,,,,"0","2",2022-09-26,
60,2022-09-26 16:50:51,2022-09-26 16:51:22,84868552,"2022-01","Ulmus americana",,,,,,,,,,,"CC6405*01","5","8",2022-09-26,
