"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2022-10-09 10:10:36,2022-10-09 10:13:08,14644423,"2022-02","Acer rubrum","CC6250*01",,,,,,,,,,,"1","3",2022-10-09,
2,2022-10-09 10:13:15,2022-10-09 10:14:13,14644423,"2022-02","Acer saccharum",,"CC6259*04",,,,,,,,,,"8","3",2022-10-09,
3,2022-10-09 10:54:28,2022-10-09 11:01:55,76160603,"2022-02","Cornus florida",,,"CC1720*01",,,,,,,,,"30","20",2022-10-09,
4,2022-10-09 17:42:02,2022-10-09 17:43:20,25060266,"2022-03","Quercus rubra",,,,,,,,,,"CC2536*01",,"18","9",2022-10-09,
5,2022-10-09 17:43:25,2022-10-09 18:30:13,25060266,"2022-03","Ulmus americana",,,,,,,,,,,"CC6249*01","26","7",2022-10-09,
6,2022-10-10 12:00:47,2022-10-10 12:03:32,51159262,"2022-02","Cornus florida",,,"CC0549*01",,,,,,,,,"80","10",2022-10-10,
7,2022-10-10 12:04:19,2022-10-10 12:06:32,51159262,"2022-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"78","10",2022-10-10,
8,2022-10-10 12:33:55,2022-10-10 12:36:06,91684787,"2022-03","Metasequoia glyptostroboides",,,,,"CC0074*01",,,,,,,"0","2",2022-10-10,
9,2022-10-10 12:36:12,2022-10-10 12:39:03,91684787,"2022-03","Ostrya virginiana",,,,,,"CC9244*01",,,,,,"10","4",2022-10-10,
10,2022-10-10 12:54:08,2022-10-10 13:00:21,60565243,"2022-03","Acer saccharum",,"CC6259*03",,,,,,,,,,"42","10",2022-10-10,
11,2022-10-10 13:00:24,2022-10-10 13:01:16,60565243,"2022-03","Acer saccharum",,"CC6403*01",,,,,,,,,,"47","8",2022-10-10,
12,2022-10-10 14:32:03,2022-10-10 14:40:01,16041831,"2022-03","Fagus grandifolia/sylvatica",,,,"20130268*01",,,,,,,,"5","0",2022-10-10,"Many major branches towards the bottom were cut."
13,2022-10-10 14:40:10,2022-10-10 14:41:05,16041831,"2022-03","Cornus florida",,,"20160323*01",,,,,,,,,"74","5",2022-10-10,
14,2022-10-10 14:57:43,2022-10-10 14:59:50,88919043,"2022-02","Metasequoia glyptostroboides",,,,,"CC1126*01",,,,,,,"1","0",2022-10-10,
15,2022-10-10 14:57:10,2022-10-10 15:02:23,29245542,"2022-03","Acer rubrum","20100048*09",,,,,,,,,,,"50","10",2022-10-10,
16,2022-10-10 15:02:36,2022-10-10 15:03:47,29245542,"2022-03","Acer rubrum","20100048*12",,,,,,,,,,,"15","5",2022-10-10,
17,2022-10-10 15:00:18,2022-10-10 15:04:03,88919043,"2022-02","Pinus strobus",,,,,,,"CC4676*03",,,,,"3","0",2022-10-10,
18,2022-10-10 15:03:51,2022-10-10 15:05:29,29245542,"2022-03","Acer rubrum","20100048*09",,,,,,,,,,,"20","5",2022-10-10,
19,2022-10-10 15:09:55,2022-10-10 15:13:11,67257484,"2022-02","Metasequoia glyptostroboides",,,,,"CC3963*01",,,,,,,"18","20",2022-10-10,
20,2022-10-10 16:01:02,2022-10-10 16:04:42,72670152,"2022-02","Pinus strobus",,,,,,,"CC4676*02",,,,,"33","10",2022-10-10,
21,2022-10-10 16:06:20,2022-10-10 16:09:58,79486468,"2022-02","Pinus strobus",,,,,,,"CC4676*01",,,,,"0","5",2022-10-10,
22,2022-10-10 16:04:50,2022-10-10 16:11:11,72670152,"2022-02","Ulmus americana",,,,,,,,,,,"CC4653*01","7","5",2022-10-10,
