"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2023-10-29 20:30:34,2023-10-29 20:34:46,25634752,"2023-01","Quercus alba",,,,,,,,,"CC4955*02",,,"100","10",2023-10-29,
2,2023-10-29 20:34:53,2023-10-29 20:39:22,25634752,"2023-01","Ostrya virginiana",,,,,,"20070191*04",,,,,,"100","70",2023-10-29,
3,2023-10-29 21:36:55,2023-10-29 21:39:23,39481190,"2023-01","Quercus rubra",,,,,,,,,,"89P063*01",,"89","0",2023-10-29,
4,2023-10-29 21:39:34,2023-10-29 21:41:22,39481190,"2023-01","Quercus rubra",,,,,,,,,,"89P063*02",,"88","11",2023-10-29,
5,2023-10-29 22:31:30,2023-10-29 22:38:02,76714327,"2023-01","Ostrya virginiana",,,,,,"20070191*02",,,,,,"85","50",2023-10-27,
6,2023-10-29 22:38:06,2023-10-29 22:39:33,76714327,"2023-01","Cornus florida",,,"CC2202*01",,,,,,,,,"90","90",2023-10-29,
7,2023-10-30 11:39:20,2023-10-30 11:40:18,58447101,"2023-02","Quercus alba",,,,,,,,,"CC4955*01",,,"100","50",2023-10-30,
8,2023-10-30 11:40:21,2023-10-30 11:40:58,58447101,"2023-02","Quercus alba",,,,,,,,,"CC4955*02",,,"95","30",2023-10-30,
9,2023-10-30 11:58:05,2023-10-30 11:59:20,86867413,"2023-01","Acer rubrum","CC2943*01",,,,,,,,,,,"100","50",2023-10-30,
10,2023-10-30 11:59:24,2023-10-30 12:00:21,86867413,"2023-01","Ostrya virginiana",,,,,,"CC1648*01",,,,,,"100","97",2023-10-30,
11,2023-10-30 12:29:03,2023-10-30 12:31:10,19355031,"2023-01","Quercus alba",,,,,,,,,"CC4955*01",,,"100","50",2023-10-30,
12,2023-10-30 12:31:20,2023-10-30 12:33:29,19355031,"2023-01","Cornus florida",,,"CC1741*01",,,,,,,,,"2","98",2023-10-30,
13,2023-10-30 12:49:06,2023-10-30 12:49:38,17566403,"2023-01","Acer saccharum",,"CC4694*01",,,,,,,,,,"98","95",2023-10-30,
14,2023-10-30 12:49:46,2023-10-30 12:50:19,17566403,"2023-01","Acer saccharum",,"CC4423*01",,,,,,,,,,"98","60",2023-10-30,
15,2023-10-30 13:02:27,2023-10-30 13:03:37,52055575,"2023-01","Acer rubrum","CC2943*01",,,,,,,,,,,"100","50",2023-10-30,
16,2023-10-30 13:03:41,2023-10-30 13:04:19,52055575,"2023-01","Ostrya virginiana",,,,,,"CC1648*01",,,,,,"100","97",2023-10-30,
17,2023-10-30 13:46:20,2023-10-30 13:47:38,76565851,"2023-01","Acer rubrum","CC8185*03",,,,,,,,,,,"44","18",2023-10-30,
18,2023-10-30 13:47:46,2023-10-30 13:48:43,76565851,"2023-01","Ostrya virginiana",,,,,,"20070191*01",,,,,,"100","98",2023-10-30,
19,2023-10-30 14:35:52,2023-10-30 14:36:45,18464272,"2023-02","Ulmus americana",,,,,,,,,,,"CC5459*02","100","65",2023-10-30,
20,2023-10-30 14:36:49,2023-10-30 14:37:23,18464272,"2023-02","Ulmus americana",,,,,,,,,,,"CC5459*03","100","85",2023-10-30,
21,2023-10-30 16:18:25,2023-10-30 16:18:52,58027410,"2023-02","Acer rubrum","20100046*07",,,,,,,,,,,"100","86",2023-10-30,
22,2023-10-30 16:18:56,2023-10-30 16:19:28,58027410,"2023-02","Acer rubrum","20100046*08",,,,,,,,,,,"100","100",2023-10-30,
23,2023-10-30 16:19:20,2023-10-30 16:20:00,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*01",,,,,,"100","90",2023-10-30,
24,2023-10-30 16:20:04,2023-10-30 16:20:35,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*02",,,,,,"99","85",2023-10-30,
25,2023-10-30 16:26:35,2023-10-30 16:27:46,18096350,"2023-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"100","95",2023-10-30,
26,2023-10-30 16:28:09,2023-10-30 16:29:02,18096350,"2023-02","Ostrya virginiana",,,,,,"20090303*05",,,,,,"100","90",2023-10-30,
27,2023-10-30 16:32:36,2023-10-30 16:33:28,61787543,"2023-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"100","97",2023-10-30,
28,2023-10-30 16:35:20,2023-10-30 16:35:52,61787543,"2023-02","Cornus florida",,,"CC2202*01",,,,,,,,,"100","70",2023-10-30,
29,2023-10-30 16:43:02,2023-10-30 16:44:54,48653201,"2023-01","Platanus occidentalis",,,,,,,,"CC0597*01",,,,"30","10",2023-10-30,
30,2023-10-30 16:44:59,2023-10-30 16:46:25,48653201,"2023-01","Cornus florida",,,"CC0549*01",,,,,,,,,"85","15",2023-10-30,
31,2023-10-30 17:10:37,2023-10-30 17:12:01,42519035,"2023-02","Fagus grandifolia/sylvatica",,,,"CC1623*01",,,,,,,,"80","20",2023-10-30,
32,2023-10-30 17:12:04,2023-10-30 17:12:46,42519035,"2023-02","Platanus occidentalis",,,,,,,,"CC9222*01",,,,"90","40",2023-10-30,
33,2023-10-30 17:31:18,2023-10-30 17:34:39,52048211,"2023-02","Ulmus americana",,,,,,,,,,,"CC6249*01","95","30",2023-10-30,
34,2023-10-30 17:34:43,2023-10-30 17:35:55,52048211,"2023-02","Ulmus americana",,,,,,,,,,,"CC6283*01","100","98",2023-10-30,
35,2023-10-30 17:36:42,2023-10-30 17:41:47,10169514,"2023-02","Quercus alba",,,,,,,,,"CC1059*01",,,"95","60",2023-10-30,
36,2023-10-30 17:41:52,2023-10-30 17:42:39,10169514,"2023-02","Quercus alba",,,,,,,,,"CC4326*01",,,"90","80",2023-10-30,
37,2023-10-30 19:17:08,2023-10-30 19:22:09,98041012,"2023-02","Ulmus americana",,,,,,,,,,,"CC5425*16","100","85",2023-10-30,
38,2023-10-30 19:22:26,2023-10-30 19:29:10,98041012,"2023-02","Ostrya virginiana",,,,,,"20090257*06",,,,,,"100","50",2023-10-30,
39,2023-10-30 21:19:12,2023-10-30 21:22:19,45259634,"2023-01","Platanus occidentalis",,,,,,,,"CC6694*03",,,,"100","50",2023-10-30,
40,2023-10-30 21:22:25,2023-10-30 21:23:23,45259634,"2023-01","Quercus alba",,,,,,,,,"CC6631*01",,,"0","0",2023-10-30,"tree has been cut down"
41,2023-10-31 08:42:59,2023-10-31 08:44:19,38765310,"2023-01","Ostrya virginiana",,,,,,"20070191*01",,,,,,"90","5",2023-10-31,
42,2023-10-31 08:44:23,2023-10-31 08:45:10,38765310,"2023-01","Ostrya virginiana",,,,,,"20070191*04",,,,,,"80","10",2023-10-31,
43,2023-10-31 09:40:58,2023-10-31 09:41:46,80480581,"2023-02","Ostrya virginiana",,,,,,"20070191*04",,,,,,"0","15",2023-10-31,
44,2023-10-31 09:41:49,2023-10-31 09:42:31,80480581,"2023-02","Ostrya virginiana",,,,,,"20070191*03",,,,,,"0","100",2023-10-31,
45,2023-10-31 11:13:41,2023-10-31 11:14:08,96431305,"2023-01","Quercus alba",,,,,,,,,"CC4955*02",,,"90","30",2023-10-31,
46,2023-10-31 11:14:13,2023-10-31 11:14:37,96431305,"2023-01","Ulmus americana",,,,,,,,,,,"CC6943*01","80","20",2023-10-31,
47,2023-10-31 11:13:42,2023-10-31 11:19:25,53515049,"2023-02","Cornus florida",,,"CC1720*01",,,,,,,,,"1","0.97",2023-10-31,
48,2023-10-31 11:19:38,2023-10-31 11:20:00,15724358,"2023-01","Quercus rubra",,,,,,,,,,"94N379*07",,"100","20",2023-10-31,
49,2023-10-31 11:19:29,2023-10-31 11:20:14,53515049,"2023-02","Ulmus americana",,,,,,,,,,,"CC6859*01","1","0.97",2023-10-31,
50,2023-10-31 11:29:39,2023-10-31 11:31:19,27009011,"2023-02","Quercus rubra",,,,,,,,,,"94N379*07",,"89","30",2023-10-31,
51,2023-10-31 11:31:58,2023-10-31 11:33:08,27009011,"2023-02","Quercus rubra",,,,,,,,,,"94N379*17",,"10","30",2023-10-31,
52,2023-10-31 12:09:30,2023-10-31 12:10:18,81984675,"2023-01","Acer saccharum",,"CC6259*04",,,,,,,,,,"91","60",2023-10-31,
53,2023-10-31 12:10:26,2023-10-31 12:10:58,81984675,"2023-01","Acer saccharum",,"CC6259*03",,,,,,,,,,"94","79",2023-10-31,
54,2023-10-31 12:21:29,2023-10-31 12:23:12,88795215,"2023-01","Fagus grandifolia/sylvatica",,,,"CC6328*01",,,,,,,,"70","20",2023-10-31,
55,2023-10-31 12:23:16,2023-10-31 12:24:43,88795215,"2023-01","Cornus florida",,,"CC1402*01",,,,,,,,,"25","15",2023-10-31,
56,2023-10-31 13:27:21,2023-10-31 13:29:09,65646184,"2023-02","Quercus alba",,,,,,,,,"CC6631*01",,,"15","100",2023-10-31,
57,2023-10-31 13:29:20,2023-10-31 13:30:43,65646184,"2023-02","Quercus alba",,,,,,,,,"CC6651*01",,,"60","40",2023-10-31,
58,2023-10-31 13:31:15,2023-10-31 13:31:51,65646184,"2023-02","Quercus alba",,,,,,,,,"CC6631*01",,,"100","15",2023-10-31,
59,2023-10-31 13:40:38,2023-10-31 13:42:00,89351959,"2023-02","Fagus grandifolia/sylvatica",,,,"CC0190*01",,,,,,,,"30","30",2023-10-30,
60,2023-10-31 13:42:10,2023-10-31 13:43:14,89351959,"2023-02","Metasequoia glyptostroboides",,,,,"CC0074*01",,,,,,,"50","10",2023-10-30,
