"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2023-11-25 15:27:07,2023-11-25 15:27:51,11532165,"2023-01","Quercus alba",,,,,,,,,"CC6651*01",,,"100","100",2023-11-26,
2,2023-11-27 10:36:17,2023-11-27 10:37:20,80137122,"2023-02","Cornus florida",,,"CC0549*01",,,,,,,,,"100","100",2023-11-24,
3,2023-11-27 10:37:25,2023-11-27 10:38:15,80137122,"2023-02","Platanus occidentalis",,,,,,,,"CC0597*01",,,,"100","100",2023-11-24,
4,2023-11-27 10:52:51,2023-11-27 10:54:48,58917831,"2023-02","Pinus strobus",,,,,,,"98P136*01",,,,,"20","35",2023-11-26,
5,2023-11-27 10:54:55,2023-11-27 10:55:38,58917831,"2023-02","Pinus strobus",,,,,,,"CC5067*02",,,,,"25","25",2023-11-26,
6,2023-11-27 12:30:00,2023-11-27 12:31:35,19355031,"2023-01","Quercus alba",,,,,,,,,"CC4955*01",,,"100","70",2023-11-27,
7,2023-11-27 12:31:43,2023-11-27 12:32:52,19355031,"2023-01","Cornus florida",,,"CC1741*01",,,,,,,,,"100","0",2023-11-27,
8,2023-11-27 12:31:26,2023-11-27 12:35:11,42747096,"2023-02","Acer saccharum",,"CC6259*01",,,,,,,,,,"0","100",2023-11-27,
9,2023-11-27 12:35:29,2023-11-27 12:35:53,42747096,"2023-02","Acer saccharum",,"CC6259*03",,,,,,,,,,"0","100",2023-11-27,
10,2023-11-27 12:45:52,2023-11-27 12:47:45,86867413,"2023-01","Acer rubrum","CC2943*01",,,,,,,,,,,"100","97",2023-11-27,
11,2023-11-27 12:47:54,2023-11-27 12:49:37,86867413,"2023-01","Ostrya virginiana",,,,,,"CC1648*01",,,,,,"0","100",2023-11-27,
12,2023-11-27 13:00:45,2023-11-27 13:04:31,18464272,"2023-02","Ulmus americana",,,,,,,,,,,"CC5459*02","0","100",2023-11-27,
13,2023-11-27 13:04:35,2023-11-27 13:05:05,18464272,"2023-02","Ulmus americana",,,,,,,,,,,"CC5459*03","0","100",2023-11-27,
14,2023-11-27 13:45:58,2023-11-27 13:46:45,52055575,"2023-01","Acer rubrum","CC2943*01",,,,,,,,,,,"100","97",2023-11-27,
15,2023-11-27 13:46:50,2023-11-27 13:47:18,52055575,"2023-01","Ostrya virginiana",,,,,,"CC1648*01",,,,,,"0","100",2023-11-27,
16,2023-11-27 14:10:16,2023-11-27 14:10:58,50786928,"2023-02","Ulmus americana",,,,,,,,,,,"CC4662*01","100","100",2023-11-27,
17,2023-11-27 14:11:02,2023-11-27 14:12:34,50786928,"2023-02","Pinus strobus",,,,,,,"CC4676*01",,,,,"48","36",2023-11-27,
18,2023-11-27 14:17:50,2023-11-27 14:18:15,12385248,"2023-02","Acer rubrum","CC1719*01",,,,,,,,,,,"100","100",2023-11-27,
19,2023-11-27 14:18:20,2023-11-27 14:18:55,12385248,"2023-02","Metasequoia glyptostroboides",,,,,"CC1024*01",,,,,,,"100","100",2023-11-27,
20,2023-11-27 16:27:13,2023-11-27 16:27:53,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*01",,,,,,"0","100",2023-11-27,
21,2023-11-27 16:27:59,2023-11-27 16:28:22,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*02",,,,,,"100","99",2023-11-27,
22,2023-11-27 16:34:15,2023-11-27 16:34:32,61787543,"2023-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"100","100",2023-11-27,
23,2023-11-27 16:36:27,2023-11-27 16:38:05,61787543,"2023-02","Cornus florida",,,"CC2202*01",,,,,,,,,"100","100",2023-11-28,
24,2023-11-27 16:43:16,2023-11-27 16:44:10,48653201,"2023-01","Platanus occidentalis",,,,,,,,"CC0597*01",,,,"100","90",2023-11-27,
25,2023-11-27 16:44:23,2023-11-27 16:45:35,48653201,"2023-01","Cornus florida",,,"CC0549*01",,,,,,,,,"100","100",2023-11-27,
26,2023-11-27 18:39:48,2023-11-27 18:44:52,98041012,"2023-02","Ulmus americana",,,,,,,,,,,"CC5425*16","100","99",2023-11-27,
27,2023-11-27 18:45:10,2023-11-27 18:50:25,98041012,"2023-02","Ostrya virginiana",,,,,,"20090257*06",,,,,,"100","65",2023-11-27,
28,2023-11-27 19:22:35,2023-11-27 19:23:55,89351959,"2023-02","Fagus grandifolia/sylvatica",,,,"CC0190*01",,,,,,,,"100","95",2023-11-27,
29,2023-11-27 19:24:26,2023-11-27 19:25:07,89351959,"2023-02","Metasequoia glyptostroboides",,,,,"CC0074*01",,,,,,,"100","80",2023-11-27,
30,2023-11-27 22:01:05,2023-11-27 22:03:31,45259634,"2023-01","Quercus alba",,,,,,,,,"CC6631*01",,,"0","0",2023-11-27,"tree is not there"
31,2023-11-27 22:03:37,2023-11-27 22:04:13,45259634,"2023-01","Platanus occidentalis",,,,,,,,"CC6694*03",,,,"100","98",2023-11-27,
32,2023-11-28 09:28:46,2023-11-28 09:29:54,83219583,"2023-02","Ostrya virginiana",,,,,,"20070191*04",,,,,,"100","90",2023-11-28,
33,2023-11-28 09:30:54,2023-11-28 09:31:29,19625381,"2023-02","Quercus alba",,,,,,,,,"CC4955*03",,,"100","95",2023-11-28,
34,2023-11-28 09:31:42,2023-11-28 09:32:22,19625381,"2023-02","Quercus alba",,,,,,,,,"CC4955*01",,,"100","30",2023-11-28,
35,2023-11-28 09:53:08,2023-11-28 09:54:23,80480581,"2023-02","Ostrya virginiana",,,,,,"20070191*04",,,,,,"100","90",2023-11-28,
36,2023-11-28 09:54:34,2023-11-28 09:55:16,80480581,"2023-02","Ostrya virginiana",,,,,,"20070191*03",,,,,,"0","100",2023-11-28,
37,2023-11-28 10:39:49,2023-11-28 10:42:57,60762467,"2023-01","Ostrya virginiana",,,,,,"20090303*05",,,,,,"0","100",2023-11-28,
38,2023-11-28 10:43:02,2023-11-28 10:43:36,60762467,"2023-01","Cornus florida",,,"CC1849*01",,,,,,,,,"100","75",2023-11-28,
39,2023-11-28 11:14:54,2023-11-28 11:15:44,96431305,"2023-01","Quercus alba",,,,,,,,,"CC4955*02",,,"100","75",2023-11-28,
40,2023-11-28 11:15:54,2023-11-28 11:16:18,96431305,"2023-01","Ulmus americana",,,,,,,,,,,"CC6943*01","100","100",2023-11-28,
