"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2023-12-03 12:22:23,2023-12-03 12:24:00,25558485,"2023-01","Pinus strobus",,,,,,,"CC5067*01",,,,,"0","0",2023-12-03,
2,2023-12-03 12:24:09,2023-12-03 12:25:14,25558485,"2023-01","Pinus strobus",,,,,,,"CC5067*02",,,,,"0","0",2023-12-03,
3,2023-12-04 10:25:39,2023-12-04 10:26:01,12385248,"2023-02","Acer rubrum","CC1719*01",,,,,,,,,,,"100","100",2023-12-04,
4,2023-12-04 10:26:05,2023-12-04 10:26:27,12385248,"2023-02","Metasequoia glyptostroboides",,,,,"CC1024*01",,,,,,,"100","100",2023-12-04,
5,2023-12-04 10:30:59,2023-12-04 10:31:35,81984675,"2023-01","Acer saccharum",,"CC6259*04",,,,,,,,,,"0","100",2023-12-04,
6,2023-12-04 10:31:41,2023-12-04 10:32:09,81984675,"2023-01","Acer saccharum",,"CC6259*03",,,,,,,,,,"0","100",2023-12-04,
7,2023-12-04 10:43:40,2023-12-04 10:44:35,12250604,"2023-01","Cornus florida",,,"CC1720*02",,,,,,,,,"100","98",2023-12-04,
8,2023-12-04 10:44:41,2023-12-04 10:45:49,12250604,"2023-01","Metasequoia glyptostroboides",,,,,"CC3963*01",,,,,,,"100","40",2023-12-04,
9,2023-12-04 11:28:06,2023-12-04 11:28:46,58447101,"2023-02","Quercus alba",,,,,,,,,"CC4955*01",,,"100","98",2023-12-04,
10,2023-12-04 11:28:51,2023-12-04 11:30:06,58447101,"2023-02","Quercus alba",,,,,,,,,"CC4955*02",,,"100","88",2023-12-04,
11,2023-12-04 11:45:50,2023-12-04 11:46:49,71916746,"2023-01","Fagus grandifolia/sylvatica",,,,"CC0169*01",,,,,,,,"100","90",2023-12-04,
12,2023-12-04 11:47:07,2023-12-04 11:50:18,71916746,"2023-01","Metasequoia glyptostroboides",,,,,"CC0074*01",,,,,,,"100","95",2023-12-04,
13,2023-12-04 12:33:54,2023-12-04 12:35:12,19355031,"2023-01","Quercus alba",,,,,,,,,"CC4955*01",,,"100","75",2023-12-04,
14,2023-12-04 12:35:21,2023-12-04 12:36:33,19355031,"2023-01","Cornus florida",,,"CC1741*01",,,,,,,,,"0","100",2023-12-04,
15,2023-12-04 13:05:57,2023-12-04 13:06:45,50786928,"2023-02","Ulmus americana",,,,,,,,,,,"CC4662*01","100","100",2023-12-04,
16,2023-12-04 13:06:49,2023-12-04 13:07:55,50786928,"2023-02","Pinus strobus",,,,,,,"CC4676*01",,,,,"50","38",2023-12-04,
17,2023-12-04 13:50:05,2023-12-04 13:50:52,11532165,"2023-01","Quercus alba",,,,,,,,,"CC6651*01",,,"100","100",2023-12-04,
18,2023-12-04 13:54:57,2023-12-04 13:55:40,75476908,"2023-01","Acer rubrum","CC6341*01",,,,,,,,,,,"100","90",2023-12-04,
19,2023-12-04 13:55:47,2023-12-04 13:56:16,75476908,"2023-01","Acer rubrum","CC6281*01",,,,,,,,,,,"100","98",2023-12-04,
20,2023-12-04 14:43:32,2023-12-04 14:44:54,53050969,"2023-01","Ulmus americana",,,,,,,,,,,"CC6416*01","100","100",2023-12-04,
21,2023-12-04 14:39:29,2023-12-04 14:45:22,62324316,"2023-02","Metasequoia glyptostroboides",,,,,"CC1126*01",,,,,,,"100","95",2023-12-04,
22,2023-12-04 14:44:59,2023-12-04 14:46:19,53050969,"2023-01","Acer saccharum",,"CC6527*01",,,,,,,,,,"100","99",2023-12-04,
23,2023-12-04 14:45:45,2023-12-04 14:46:32,62324316,"2023-02","Quercus alba",,,,,,,,,"CC0253*01",,,"100","97",2023-12-04,
24,2023-12-04 14:52:54,2023-12-04 14:53:35,80480581,"2023-02","Ostrya virginiana",,,,,,"20070191*04",,,,,,"100","95",2023-12-04,
25,2023-12-04 14:53:41,2023-12-04 14:54:04,80480581,"2023-02","Ostrya virginiana",,,,,,"20070191*03",,,,,,"0","100",2023-12-04,
26,2023-12-04 15:17:32,2023-12-04 15:18:06,14214055,"2023-01","Acer rubrum","20100048*07",,,,,,,,,,,"100","100",2023-12-04,
27,2023-12-04 15:18:42,2023-12-04 15:21:07,14214055,"2023-01","Platanus occidentalis",,,,,,,,"CC2662*01",,,,"100","92",2023-12-04,
28,2023-12-04 15:29:46,2023-12-04 15:35:24,38765310,"2023-01","Ostrya virginiana",,,,,,"20070191*01",,,,,,"100","13",2023-12-04,
29,2023-12-04 15:35:29,2023-12-04 15:36:51,38765310,"2023-01","Ostrya virginiana",,,,,,"20070191*04",,,,,,"100","16",2023-12-04,
30,2023-12-04 16:26:42,2023-12-04 16:27:32,18096350,"2023-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"100","99",2023-12-04,
31,2023-12-04 16:27:39,2023-12-04 16:28:13,66759717,"2023-02","Acer saccharum",,"CC5899*02",,,,,,,,,,"100","100",2023-12-04,
