"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2023-09-17 13:36:25,2023-09-17 13:50:24,91692000,"2023-01","Acer rubrum","CC6281*02",,,,,,,,,,,"1","1",2023-09-17,"Tree is in immaculate shape and has not experienced any sort of fall color change"
2,2023-09-17 13:50:31,2023-09-17 13:55:11,91692000,"2023-01","Acer rubrum","CC6281*01",,,,,,,,,,,"1","1",2023-09-17,"Tree is in great shape hasn't experienced fall change yet"
3,2023-09-17 13:55:19,2023-09-17 13:57:04,91692000,"2023-01","Acer rubrum","CC6281*02",,,,,,,,,,,"1","1",2023-09-17,"had to resubmit because I submitted last weeks picture thanks"
4,2023-09-17 14:32:34,2023-09-17 14:35:13,39481190,"2023-01","Quercus rubra",,,,,,,,,,"89P063*03",,"2","0",2023-09-17,
5,2023-09-18 10:43:58,2023-09-18 10:45:19,17566403,"2023-01","Acer saccharum",,"CC4423*01",,,,,,,,,,"3","1",2023-09-18,
6,2023-09-18 10:45:31,2023-09-18 10:46:38,17566403,"2023-01","Acer saccharum",,"CC4694*01",,,,,,,,,,"7.5","1",2023-09-18,
7,2023-09-18 10:45:58,2023-09-18 10:48:09,13679760,"2023-01","Cornus florida",,,"CC2938*01",,,,,,,,,"5","0",2023-09-18,"N/A"
8,2023-09-18 10:48:14,2023-09-18 10:50:01,13679760,"2023-01","Acer rubrum","CC2943*03",,,,,,,,,,,"10","0",2023-09-18,"N/A"
9,2023-09-18 12:18:59,2023-09-18 12:23:32,81821232,"2023-01","Cornus florida",,,"CC1720*02",,,,,,,,,"35","10",2023-09-18,"N/A"
10,2023-09-18 12:22:47,2023-09-18 12:24:26,28415869,"2023-01","Acer rubrum","20100048*09",,,,,,,,,,,"1","0",2023-09-18,
11,2023-09-18 12:24:31,2023-09-18 12:25:15,28415869,"2023-01","Cornus florida",,,"CC1720*02",,,,,,,,,"5","0",2023-09-18,
12,2023-09-18 12:23:46,2023-09-18 12:25:35,81821232,"2023-01","Ulmus americana",,,,,,,,,,,"CC6859*01","30","15",2023-09-18,"N/A"
13,2023-09-18 12:43:00,2023-09-18 12:48:34,72645296,"2023-01","Quercus alba",,,,,,,,,"CC0253*01",,,"0","0",2023-09-18,
14,2023-09-18 12:49:05,2023-09-18 12:49:57,72645296,"2023-01","Quercus alba",,,,,,,,,"20050360*10",,,"0","0",2023-09-18,
15,2023-09-18 12:49:49,2023-09-18 12:51:15,37508877,"2023-01","Metasequoia glyptostroboides",,,,,"CC4185*01",,,,,,,"2","0",2023-09-18,
16,2023-09-18 12:51:20,2023-09-18 12:52:00,37508877,"2023-01","Ostrya virginiana",,,,,,"20070191*04",,,,,,"20","0",2023-09-18,
17,2023-09-18 14:09:21,2023-09-18 14:09:56,88000842,"2023-01","Ostrya virginiana",,,,,,"20090257*06",,,,,,"3","1",2023-09-18,
18,2023-09-18 14:17:53,2023-09-18 14:18:52,88000842,"2023-01","Ulmus americana",,,,,,,,,,,"CC5425*16","2","0",2023-09-18,
19,2023-09-18 14:23:05,2023-09-18 14:25:22,19355031,"2023-01","Quercus alba",,,,,,,,,"CC4955*01",,,"0","0",2023-09-18,
20,2023-09-18 14:25:38,2023-09-18 14:27:27,19355031,"2023-01","Cornus florida",,,"CC1741*01",,,,,,,,,"5","1",2023-09-18,
21,2023-09-18 15:32:35,2023-09-18 15:35:04,38765310,"2023-01","Ostrya virginiana",,,,,,"20070191*01",,,,,,"20","5",2023-09-18,
22,2023-09-18 15:35:18,2023-09-18 15:36:22,38765310,"2023-01","Ostrya virginiana",,,,,,"20070191*04",,,,,,"10","1",2023-09-18,
23,2023-09-18 16:11:58,2023-09-18 16:12:43,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*01",,,,,,"0","0",2023-09-18,
24,2023-09-18 16:12:47,2023-09-18 16:13:10,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*02",,,,,,"0","0",2023-09-18,
25,2023-09-18 16:13:27,2023-09-18 16:16:47,18096350,"2023-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"3","1",2023-09-18,
26,2023-09-18 16:16:56,2023-09-18 16:20:29,18096350,"2023-02","Ostrya virginiana",,,,,,"20090303*05",,,,,,"10","3",2023-09-18,"The tag on the tree denoting the accession number is missing"
27,2023-09-18 16:25:11,2023-09-18 16:26:06,61787543,"2023-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"0","0",2023-09-18,
28,2023-09-18 16:31:02,2023-09-18 16:31:30,61787543,"2023-02","Cornus florida",,,"CC2202*01",,,,,,,,,"5","0",2023-09-19,
29,2023-09-18 16:39:36,2023-09-18 16:43:07,48653201,"2023-01","Platanus occidentalis",,,,,,,,"CC0597*01",,,,"1","0",2023-09-18,
30,2023-09-18 16:43:14,2023-09-18 16:44:20,48653201,"2023-01","Cornus florida",,,"CC0549*01",,,,,,,,,"5","0",2023-09-18,
31,2023-09-18 16:51:18,2023-09-18 16:58:24,14538748,"2023-01","Ulmus americana",,,,,,,,,,,"CC6270*01","5","2",2023-09-18,
