"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2023-09-24 18:51:33,2023-09-24 18:53:13,79784679,"2023-01","Fagus grandifolia/sylvatica",,,,"CC0255*01",,,,,,,,"10","10",2023-09-24,"Tag on tree was broken, I think I photographed the right one but I am not 100% sure"
2,2023-09-24 18:53:18,2023-09-24 18:54:10,79784679,"2023-01","Metasequoia glyptostroboides",,,,,"CC1024*01",,,,,,,"10","10",2023-09-24,"None"
3,2023-09-24 20:11:54,2023-09-24 20:15:57,88000842,"2023-01","Ostrya virginiana",,,,,,"20090257*06",,,,,,"45","2",2023-09-24,
4,2023-09-24 20:16:05,2023-09-24 20:18:23,88000842,"2023-01","Ulmus americana",,,,,,,,,,,"CC5425*16","8","0",2023-09-24,
5,2023-09-25 00:42:07,2023-09-25 00:45:31,42631784,"2023-01","Acer rubrum","20100046*08",,,,,,,,,,,"0","7",2023-09-24,"accidentally submitted picture of red oak under red maple. this is my picture of the red maple. very little change since last week, a few more leaves fell i noticed on this one as compared to the oak."
6,2023-09-25 08:48:37,2023-09-25 08:50:00,76565851,"2023-01","Acer rubrum","CC8185*03",,,,,,,,,,,"10","0",2023-09-25,
7,2023-09-25 08:50:12,2023-09-25 08:51:49,76565851,"2023-01","Ostrya virginiana",,,,,,"20070191*01",,,,,,"40","10",2023-09-25,
8,2023-09-25 09:01:17,2023-09-25 09:03:00,28415869,"2023-01","Acer rubrum","20100048*09",,,,,,,,,,,"5","0",2023-09-25,
9,2023-09-25 09:03:06,2023-09-25 09:04:05,28415869,"2023-01","Cornus florida",,,"CC1720*02",,,,,,,,,"15","0",2023-09-25,
10,2023-09-25 10:20:59,2023-09-25 10:22:08,91692000,"2023-01","Acer rubrum","CC6281*02",,,,,,,,,,,"8","3",2023-09-25,"NA next week fall colors will probably be more prevalent"
11,2023-09-25 10:22:12,2023-09-25 10:22:55,91692000,"2023-01","Acer rubrum","CC6281*01",,,,,,,,,,,"10","3",2023-09-25,"NA next week fall colors will probably be more prevalent and noticeable"
12,2023-09-25 11:18:02,2023-09-25 11:20:15,39481190,"2023-01","Quercus rubra",,,,,,,,,,"89P063*02",,"3","0",2023-09-25,
13,2023-09-25 11:39:54,2023-09-25 11:41:56,58447101,"2023-02","Quercus alba",,,,,,,,,"CC4955*01",,,"10","5",2023-09-25,
14,2023-09-25 11:41:59,2023-09-25 11:42:28,58447101,"2023-02","Quercus alba",,,,,,,,,"CC4955*02",,,"5","2",2023-09-25,
15,2023-09-25 11:58:50,2023-09-25 12:00:15,42519035,"2023-02","Platanus occidentalis",,,,,,,,"CC9222*01",,,,"5","5",2023-09-25,
16,2023-09-25 12:00:21,2023-09-25 12:04:38,42519035,"2023-02","Fagus grandifolia/sylvatica",,,,"CC1623*01",,,,,,,,"0","0",2023-09-25,
17,2023-09-25 12:07:32,2023-09-25 12:08:33,17566403,"2023-01","Acer saccharum",,"CC4694*01",,,,,,,,,,"13","2",2023-09-25,
18,2023-09-25 12:08:45,2023-09-25 12:09:29,17566403,"2023-01","Acer saccharum",,"CC4423*01",,,,,,,,,,"7","1.5",2023-09-25,
19,2023-09-25 12:16:57,2023-09-25 12:20:46,81821232,"2023-01","Cornus florida",,,"CC1720*02",,,,,,,,,"25","15",2023-09-25,"N/A"
20,2023-09-25 12:20:34,2023-09-25 12:22:50,13679760,"2023-01","Cornus florida",,,"CC2938*01",,,,,,,,,"10","5",2023-09-25,"N/A"
21,2023-09-25 12:21:02,2023-09-25 12:23:22,81821232,"2023-01","Ulmus americana",,,,,,,,,,,"CC6859*01","25","20",2023-09-25,"N/A"
22,2023-09-25 12:22:56,2023-09-25 12:24:46,13679760,"2023-01","Acer rubrum","CC2943*03",,,,,,,,,,,"20","0",2023-09-25,"N/A"
23,2023-09-25 14:11:15,2023-09-25 14:12:21,19355031,"2023-01","Quercus alba",,,,,,,,,"CC4955*01",,,"20","10",2023-09-25,
24,2023-09-25 14:12:33,2023-09-25 14:13:21,19355031,"2023-01","Cornus florida",,,"CC1741*01",,,,,,,,,"10","10",2023-09-25,
25,2023-09-25 15:29:01,2023-09-25 15:30:33,86867413,"2023-01","Acer rubrum","CC2943*01",,,,,,,,,,,"36","14",2023-09-25,
26,2023-09-25 15:30:44,2023-09-25 15:34:09,86867413,"2023-01","Ostrya virginiana",,,,,,"CC1648*01",,,,,,"80","43",2023-09-25,
27,2023-09-25 16:37:30,2023-09-25 16:37:51,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*01",,,,,,"5","5",2023-09-25,
28,2023-09-25 16:37:55,2023-09-25 16:38:30,15428829,"2023-02","Ostrya virginiana",,,,,,"20070191*02",,,,,,"20","5",2023-09-25,
29,2023-09-25 16:37:55,2023-09-25 16:38:35,48653201,"2023-01","Platanus occidentalis",,,,,,,,"CC0597*01",,,,"1","0",2023-09-25,
