"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2023-10-17 17:04:44,2023-10-17 17:05:37,71916746,"2023-01","Fagus grandifolia/sylvatica",,,,"CC0169*01",,,,,,,,"2","2",2023-10-17,
2,2023-10-22 17:42:37,2023-10-22 17:44:44,69234322,"2023-01","Acer rubrum","20100046*07",,,,,,,,,,,"85","20",2023-10-22,
3,2023-10-22 17:44:52,2023-10-22 17:46:13,69234322,"2023-01","Quercus rubra",,,,,,,,,,"CC2536*01",,"10","7",2023-10-22,
4,2023-10-22 19:54:36,2023-10-22 19:55:31,39481190,"2023-01","Quercus rubra",,,,,,,,,,"89P063*01",,"8","0",2023-10-21,
5,2023-10-22 19:55:37,2023-10-22 19:56:22,39481190,"2023-01","Quercus rubra",,,,,,,,,,"89P063*02",,"10","21",2023-10-22,
6,2023-10-22 23:25:34,2023-10-22 23:29:04,20232946,"2023-01","Quercus alba",,,,,,,,,"20050360*10",,,"40","35",2023-10-19,
7,2023-10-22 23:29:08,2023-10-22 23:30:11,20232946,"2023-01","Quercus rubra",,,,,,,,,,"CC0286*01",,"30","25",2023-10-19,
8,2023-10-23 11:49:33,2023-10-23 11:50:05,42242377,"2023-02","Quercus rubra",,,,,,,,,,"20080059*15",,"60","10",2023-10-23,
9,2023-10-23 11:50:09,2023-10-23 11:50:33,42242377,"2023-02","Quercus rubra",,,,,,,,,,"20090665*02",,"60","10",2023-10-23,
10,2023-10-23 12:45:29,2023-10-23 12:46:04,55305646,"2023-02","Acer rubrum","CC1719*01",,,,,,,,,,,"30","30",2023-10-22,
11,2023-10-23 12:46:09,2023-10-23 12:46:34,55305646,"2023-02","Ostrya virginiana",,,,,,"CC9244*01",,,,,,"50","30",2023-10-22,
12,2023-10-23 17:42:26,2023-10-23 17:43:02,75476908,"2023-01","Acer rubrum","CC6341*01",,,,,,,,,,,"40","15",2023-10-23,
13,2023-10-23 17:43:05,2023-10-23 17:43:34,75476908,"2023-01","Acer rubrum","CC6281*01",,,,,,,,,,,"60","25",2023-10-23,
14,2023-10-23 17:57:51,2023-10-23 17:58:52,16631430,"2023-01","Cornus florida",,,"CC1849*01",,,,,,,,,"100","10",2023-10-24,
15,2023-10-23 18:01:35,2023-10-23 18:02:34,16631430,"2023-01","Ostrya virginiana",,,,,,"20110263*01",,,,,,"100","2",2023-10-24,
