"ID","Start_time","Completion_time","StudentID","Last_modified_time","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharinum","Accession_Acer_saccharum","Accession_Cercis_canadensis","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Fagus_sylvatica","Accession_Gymnocladus_dioicius","Accession_Liriodendron_tulipifera","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_macrocarpa","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2024-09-09 09:19:09,2024-09-09 10:08:26,71843862,,"2024-01","Quercus alba (white oak)",,,,,,,,,,,,,,"CC4955*01",,,,0,0,2024-09-09,
2,2024-09-09 10:08:29,2024-09-09 10:09:53,71843862,,"2024-01","Quercus rubra (red oak)",,,,,,,,,,,,,,,,"CC4944*01",,0,0,2024-09-09,
3,2024-09-09 11:24:18,2024-09-09 11:25:18,67437512,,"2024-08","Cercis canadensis (eastern redbud)",,,,"CC2925*01",,,,,,,,,,,,,,0,0,2024-09-09,
4,2024-09-09 11:25:26,2024-09-09 11:26:02,67437512,,"2024-08","Cornus florida (eastern flowering dogwood)",,,,,"CC2938*01",,,,,,,,,,,,,15,15,2024-09-09,
5,2024-09-09 12:19:04,2024-09-09 12:20:48,41913480,,"2024-02","Liriodendron tulipifera (tulip tree)",,,,,,,,,"CC0901*01",,,,,,,,,0,0,2024-09-09,
6,2024-09-09 12:20:52,2024-09-09 12:21:48,41913480,,"2024-02","Platanus occidentalis (sycamore)",,,,,,,,,,,,,"CC0016*01",,,,,1,1,2024-09-09,
7,2024-09-09 14:15:30,2024-09-09 14:18:07,91235412,,"2024-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC6397*02",5,5,2024-09-09,"N/A"
8,2024-09-09 14:18:16,2024-09-09 14:20:43,91235412,,"2024-01","Quercus alba (white oak)",,,,,,,,,,,,,,"CC6390*01",,,,0,0,2024-09-09,"N/A"
9,2024-09-09 14:36:52,2024-09-09 14:40:02,22716102,,"2024-01","Quercus rubra (red oak)",,,,,,,,,,,,,,,,"CC7306*01",,0,0,2024-09-09,"There was not much of a change from the week before. Leaves are still green, and leaves are slowly falling off but the tree is still pretty full."
10,2024-09-09 14:40:06,2024-09-09 14:41:49,22716102,,"2024-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC5459*03",10,10,2024-09-09,"Not much has changed from last week. A little bit more color, but did not notice any leaves have fallen."
