"ID","Start_time","Completion_time","StudentID","Last_modified_time","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharinum","Accession_Acer_saccharum","Accession_Cercis_canadensis","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Fagus_sylvatica","Accession_Gymnocladus_dioicius","Accession_Liriodendron_tulipifera","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_macrocarpa","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
823,2025-09-21 20:35:04,2025-09-21 20:36:14,85451023,,"2025-01","Acer saccharum (sugar maple)",,,"CC6259*02",,,,,,,,,,,,,,,"0","0",2025-09-19,
824,2025-09-21 20:36:37,2025-09-21 20:37:04,85451023,,"2025-01","Acer rubrum (red maple)","CC6281*02",,,,,,,,,,,,,,,,,"0","0",2025-09-19,
1147,2025-10-06 12:49:01,2025-10-06 12:55:11,93253325,,"2025-01","Quercus macrocarpa (bur oak)",,,,,,,,,,,,,,,"CC8292*01",,,"40","40",2025-09-20,
1148,2025-10-06 12:55:33,2025-10-06 12:57:58,93253325,,"2025-01","Acer rubrum (red maple)","CC8185*03",,,,,,,,,,,,,,,,,"50","50",2025-09-20,
281,2025-09-18 15:46:04,2025-09-18 15:48:32,26755720,,"2025-01","Quercus rubra (red oak)",,,,,,,,,,,,,,,,"CC7306*01",,"4","6",2025-09-18,
282,2025-09-18 15:48:36,2025-09-18 15:49:51,26755720,,"2025-01","Cornus florida (eastern flowering dogwood)",,,,,"CC7298*02",,,,,,,,,,,,,"40","12",2025-09-18,
750,2025-09-21 14:35:41,2025-09-21 14:44:26,79512394,,"2025-01","Quercus rubra (red oak)",,,,,,,,,,,,,,,,"20090327*02",,"5","5",2025-09-21,
751,2025-09-21 14:44:31,2025-09-21 14:46:39,79512394,,"2025-01","Quercus macrocarpa (bur oak)",,,,,,,,,,,,,,,"CC4980*01",,,"5","10",2025-09-21,
469,2025-09-19 16:17:45,2025-09-19 16:40:51,68895763,,"2025-01","Liriodendron tulipifera (tulip tree)",,,,,,,,,"20120053*01",,,,,,,,,"15","0",2025-09-19,
470,2025-09-19 16:40:55,2025-09-19 16:42:32,68895763,,"2025-01","Ostrya virginiana (American hop hornbeam)",,,,,,,,,,,"20070191*03",,,,,,,"8","0",2025-09-19,
787,2025-09-21 18:06:14,2025-09-21 18:09:06,91782188,,"2025-01","Gymnocladus dioicius (Kentucky coffee-tree)",,,,,,,,"NN0276*01",,,,,,,,,,"15","10",2025-09-19,
788,2025-09-21 18:09:12,2025-09-21 18:11:00,91782188,,"2025-01","Ostrya virginiana (American hop hornbeam)",,,,,,,,,,,"20070191*04",,,,,,,"10","5",2025-09-19,
799,2025-09-21 19:01:51,2025-09-21 19:03:13,17685012,,"2025-01","Acer rubrum (red maple)","CC1719*02",,,,,,,,,,,,,,,,,"10","15",2025-09-19,
800,2025-09-21 19:03:19,2025-09-21 19:04:15,17685012,,"2025-01","Pinus strobus (eastern white pine)",,,,,,,,,,,,"98P136*01",,,,,,"15","10",2025-09-19,
894,2025-09-22 00:07:38,2025-09-22 00:10:34,64434092,,"2025-01","Quercus alba (white oak)",,,,,,,,,,,,,,"CC4955*01",,,,"30","40",2025-09-21,
895,2025-09-22 00:10:39,2025-09-22 00:12:24,64434092,,"2025-01","Liriodendron tulipifera (tulip tree)",,,,,,,,,"20090169*06",,,,,,,,,"20","40",2025-09-21,
551,2025-09-20 13:36:08,2025-09-20 13:43:06,48674593,,"2025-01","Acer saccharum (sugar maple)",,,"CC6259*01",,,,,,,,,,,,,,,"2","0",2025-09-18,
553,2025-09-20 13:43:12,2025-09-20 13:46:03,48674593,,"2025-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC6397*02","15","9",2025-09-18,
401,2025-09-19 12:29:05,2025-09-19 12:31:33,94809732,,"2025-01","Quercus alba (white oak)",,,,,,,,,,,,,,"CC4955*03",,,,"10","10",2025-09-19,
402,2025-09-19 12:31:37,2025-09-19 12:32:23,94809732,,"2025-01","Quercus alba (white oak)",,,,,,,,,,,,,,"CC4955*02",,,,"5","5",2025-09-19,
594,2025-09-20 17:08:15,2025-09-20 17:11:06,82736488,,"2025-01","Quercus rubra (red oak)",,,,,,,,,,,,,,,,"CC7306*01",,"5","16",2025-09-20,
596,2025-09-20 17:11:10,2025-09-20 17:12:19,82736488,,"2025-01","Quercus macrocarpa (bur oak)",,,,,,,,,,,,,,,"CC7326*01",,,"73","24",2025-09-20,
109,2025-09-17 10:37:10,2025-09-17 10:38:11,13153435,,"2025-01","Cercis canadensis (eastern redbud)",,,,"CC1628*01",,,,,,,,,,,,,,"1","1",2025-09-17,
110,2025-09-17 10:38:21,2025-09-17 10:40:04,13153435,,"2025-01","Platanus occidentalis (sycamore)",,,,,,,,,,,,,"CC6645*01",,,,,"13","5",2025-09-17,
1051,2025-09-22 13:16:54,2025-09-22 13:19:59,32547172,,"2025-01","Fagus grandifolia (American beech)",,,,,,"CC1623*01",,,,,,,,,,,,"0","10",2025-09-19,
