"ID","Start_time","Completion_time","StudentID","Last_modified_time","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharinum","Accession_Acer_saccharum","Accession_Cercis_canadensis","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Fagus_sylvatica","Accession_Gymnocladus_dioicius","Accession_Liriodendron_tulipifera","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_macrocarpa","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2025-10-20 18:36:19,2025-10-20 18:39:38,99945027,,"2025-02","Acer saccharinum (silver maple)",,"CC1061*01",,,,,,,,,,,,,,,,"25","15",2025-10-20,
2,2025-10-20 18:39:43,2025-10-20 18:40:42,99945027,,"2025-02","Metasequoia glyptostroboides (dawn-redwood)",,,,,,,,,,"CC1024*01",,,,,,,,"10","5",2025-10-20,
3,2025-10-21 11:13:47,2025-10-21 11:20:58,26345777,,"2025-02","Quercus alba (white oak)",,,,,,,,,,,,,,"CC6390*01",,,,"40","30",2025-10-18,"This is for the week of 10/12-10/19 I forgot to submit the form but took the photos"
4,2025-10-21 11:21:02,2025-10-21 11:22:11,26345777,,"2025-02","Fagus grandifolia (American beech)",,,,,,"CC6260*01",,,,,,,,,,,,"35","20",2025-10-18,"This is for the week of 10/12-10/19 I forgot to submit the form but took the photos"
5,2025-10-21 13:46:16,2025-10-21 13:47:28,11070264,,"2025-02","Liriodendron tulipifera (tulip tree)",,,,,,,,,"20150640*07",,,,,,,,,"50","50",2025-10-17,
6,2025-10-21 13:47:37,2025-10-21 13:48:41,11070264,,"2025-02","Liriodendron tulipifera (tulip tree)",,,,,,,,,"89P067*01",,,,,,,,,"10","50",2025-10-17,
7,2025-10-21 15:36:21,2025-10-21 15:38:41,22219553,,"2025-02","Quercus alba (white oak)",,,,,,,,,,,,,,"CC4955*02",,,,"45","35",2025-10-20,
8,2025-10-21 15:38:45,2025-10-21 15:39:45,22219553,,"2025-02","Quercus macrocarpa (bur oak)",,,,,,,,,,,,,,,"20090214*02",,,"65","58",2025-10-21,
9,2025-10-21 22:00:36,2025-10-21 22:03:16,75369555,,"2025-03","Ostrya virginiana (American hop hornbeam)",,,,,,,,,,,"20110263*01",,,,,,,"95","30",2025-10-21,"the color finally changed. only some leaves are still green and its hard to see in the picture"
10,2025-10-21 22:03:20,2025-10-21 22:05:04,75369555,,"2025-03","Quercus macrocarpa (bur oak)",,,,,,,,,,,,,,,"CC4964*01",,,"45","20",2025-10-21,"empty branches and ratio of fall color leaves are hard to see in the picture"
11,2025-10-22 12:28:21,2025-10-22 12:29:33,89903401,,"2025-01","Acer saccharinum (silver maple)",,"CC1729*01",,,,,,,,,,,,,,,,"55","65",2025-10-22,
12,2025-10-22 12:29:57,2025-10-22 12:31:00,89903401,,"2025-01","Quercus macrocarpa (bur oak)",,,,,,,,,,,,,,,"CC6861*01",,,"38","20",2025-10-22,
13,2025-10-22 12:57:04,2025-10-22 12:58:38,62571457,,"2025-03","Platanus occidentalis (sycamore)",,,,,,,,,,,,,"CC4983*03",,,,,"5","0",2025-10-22,
14,2025-10-22 12:58:25,2025-10-22 12:59:30,60077523,,"2025-03","Acer saccharinum (silver maple)",,"CC4350*01",,,,,,,,,,,,,,,,"40","20",2025-10-22,
15,2025-10-22 12:58:42,2025-10-22 12:59:36,62571457,,"2025-03","Platanus occidentalis (sycamore)",,,,,,,,,,,,,"CC4983*01",,,,,"3","0",2025-10-22,
16,2025-10-22 12:59:34,2025-10-22 13:00:27,60077523,,"2025-03","Liriodendron tulipifera (tulip tree)",,,,,,,,,"89P067*01",,,,,,,,,"30","20",2025-10-22,
17,2025-10-22 13:11:16,2025-10-22 13:12:51,60933966,,"2025-03","Quercus rubra (red oak)",,,,,,,,,,,,,,,,"20090665*02",,"80","45",2025-10-22,
18,2025-10-22 13:13:00,2025-10-22 13:14:35,60933966,,"2025-03","Quercus alba (white oak)",,,,,,,,,,,,,,"CC4600*01",,,,"45","40",2025-10-22,
19,2025-10-22 14:19:43,2025-10-22 14:20:13,37886702,,"2025-02","Cercis canadensis (eastern redbud)",,,,"98P065*04",,,,,,,,,,,,,,"25","30",2025-10-22,
