"observation_group_name","date","last_name","station_name"
"20170910_CC4333*01_unk_1_1","2017-09-10","Student","Hannah Administration Building"
"20170911_CC0192*01_unk_2_1","2017-09-11","Student","Music Building"
"20170911_CC0597*01_unk_3_1","2017-09-11","Student","Beal Botanical Garden"
"20170911_CC0364*01_unk_4_1","2017-09-11","Student","Beaumont Tower"
"20170911_CC6694*01_unk_5_1","2017-09-11","Student","Shaw Hall"
"20170911_89P063*01_unk_6_1","2017-09-11","Student","Shaw Hall"
"20170911_NN0748*01_unk_7_1","2017-09-11","Student","Plant Sciences"
"20170911_NN0748*01_unk_8_1","2017-09-11","Student","Plant Sciences"
"20170911_CC6943*01_unk_9_1","2017-09-11","Student","South Neighborhood"
"20170911_CC2662*01_unk_10_1","2017-09-11","Student","Wharton Center"
"20170911_CC2662*02_unk_11_1","2017-09-11","Student","Wharton Center"
"20170911_20000146*02_unk_12_1","2017-09-11","Student","Plant Sciences"
"20170911_20000146*05_unk_13_1","2017-09-11","Student","Plant Sciences"
"20170911_CC4653*01_unk_14_1","2017-09-11","Student","Grand River Ave"
"20170911_CC6397*02_unk_15_1","2017-09-11","Student","NE Dorms"
"20170911_20090665*02_unk_16_1","2017-09-11","Student","Beaumont Tower"
"20170911_CC4600*01_unk_17_1","2017-09-11","Student","Benefactors Plaza"
"20170911_CC1741*01_unk_18_1","2017-09-11","Student","International Center"
"20170911_CC7298*01_unk_19_1","2017-09-11","Student","Breslin to Stadium"
"20170911_CC0242*01_unk_20_1","2017-09-11","Student","Beaumont Tower"
"20170911_CC0169*01_unk_21_1","2017-09-11","Student","Music Building"
"20170911_CC5459*03_unk_22_1","2017-09-11","Student","South Neighborhood"
"20170912_CC6397*02_unk_23_1","2017-09-12","Student","NE Dorms"
"20170912_CC1666*01_unk_24_1","2017-09-12","Student","International Center"
"20170912_CC1720*03_unk_25_1","2017-09-12","Student","International Center"
"20170912_CC1720*02_unk_26_1","2017-09-12","Student","International Center"
"20170912_CC1720*01_unk_27_1","2017-09-12","Student","International Center"
"20170912_CC4918*01_unk_28_1","2017-09-12","Student","Music Building"
"20170912_CC0549*01_unk_29_1","2017-09-12","Student","Beal Botanical Garden"
"20170912_CC4331*01_unk_30_1","2017-09-12","Student","Hannah Administration Building"
"20170912_CC4333*01_unk_31_1","2017-09-12","Student","Hannah Administration Building"
"20170912_CC1741*01_unk_32_1","2017-09-12","Student","International Center"
"20170913_CC6250*01_unk_33_1","2017-09-13","Student","NE Dorms"
"20170913_CC6259*01_unk_34_1","2017-09-13","Student","NE Dorms"
"20170913_CC1720*02_unk_35_1","2017-09-13","Student","International Center"
"20170913_NN0749*01_unk_36_1","2017-09-13","Student","Plant Sciences"
"20170913_CC0242*01_unk_37_1","2017-09-13","Student","Beaumont Tower"
"20170913_CC1245*01_unk_38_1","2017-09-13","Student","Grand River Ave"
"20170913_20100048*14_unk_39_1","2017-09-13","Student","Plant Sciences"
"20170913_20130268*01_unk_40_1","2017-09-13","Student","Beaumont Tower"
"20170913_CC0016*01_unk_41_1","2017-09-13","Student","Music Building"
"20170913_20000146*02_unk_42_1","2017-09-13","Student","Plant Sciences"
"20170913_20000146*03_unk_43_1","2017-09-13","Student","Plant Sciences"
"20170913_20100048*13_unk_44_1","2017-09-13","Student","Plant Sciences"
"20170913_94N379*07_unk_45_1","2017-09-13","Student","Plant Sciences"
"20170913_CC6328*01_unk_46_1","2017-09-13","Student","NE Dorms"
