"first_name","middle_name","last_name","username","email","create_date","active","comments"
"MSU",NA,"Student","MSU_Student_00000000",NA,"2017-01-01",0,"Fictional person for MSU campus trees project in 2017, when no observer listed"
NA,NA,NA,"MSU_Student_10006189",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10088850",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10128070",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10158682",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10171301",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10177123",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10192561",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10204671",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10208607",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10233623",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10237896",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10250662",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10279418",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10321160",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10352033",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10378881",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10425743",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10439393",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10541380",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10564264",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10579744",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10603414",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10610781",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10683407",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10735672",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10776563",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10808103",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10825774",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10841568",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10886187",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10957903",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10965734",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_10985166",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11040937",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11060756",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11086571",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11214017",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11253829",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11314422",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11456468",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11510085",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11536092",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11547758",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11562716",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11566557",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11596808",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11603962",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11612420",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11622574",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11627746",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11638151",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11721564",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11769417",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11774104",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11820407",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11852618",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11857270",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
NA,NA,NA,"MSU_Student_11874163",NA,"2017-01-01",0,"MSU campus trees project student observer, 2018-2025"
