"station_name","species_id","individual_userstr","latitude","longitude","lat_lon_datum","active"
"Plant Sciences",3,"red maple-20100046*07",42.7223703,-84.4777776,"WGS84",1
"Plant Sciences",3,"red maple-20100046*08",42.7222951,-84.4777725,"WGS84",1
"Plant Sciences",3,"red maple-20100048*07",42.722202,-84.478261,"WGS84",1
"Plant Sciences",3,"red maple-20100048*09",42.721809,-84.47825,"WGS84",1
"Plant Sciences",3,"red maple-20100048*11",42.721519,-84.478415,"WGS84",0
"Plant Sciences",3,"red maple-20100048*12",42.7215274,-84.478473,"WGS84",1
"Plant Sciences",3,"red maple-20100048*13",42.721971,-84.477779,"WGS84",0
"Plant Sciences",3,"red maple-20100048*14",42.722081,-84.477777,"WGS84",1
"International Center",3,"red maple-CC1719*01",42.727157,-84.480918,"WGS84",1
"International Center",3,"red maple-CC1719*02",42.727285,-84.480601,"WGS84",1
"Sanford Natural Area",3,"red maple-CC2943*01",42.726411,-84.469199,"WGS84",1
"Sanford Natural Area",3,"red maple-CC2943*02",42.726363,-84.469338,"WGS84",1
"Sanford Natural Area",3,"red maple-CC2943*03",42.72615,-84.469305,"WGS84",1
"NE Dorms",3,"red maple-CC6250*01",42.731992,-84.473052,"WGS84",1
"NE Dorms",3,"red maple-CC6281*01",42.730752,-84.473279,"WGS84",1
"NE Dorms",3,"red maple-CC6281*02",42.730747,-84.473161,"WGS84",1
"NE Dorms",3,"red maple-CC6341*01",42.730746,-84.473533,"WGS84",1
"South Neighborhood",3,"red maple-CC8185*03",42.723318,-84.485613,"WGS84",1
"Music Building",781,"silver maple-CC0007*01",42.732176,-84.485368,"WGS84",1
"Music Building",781,"silver maple-CC0014*01",42.73244,-84.486072,"WGS84",1
"Music Building",781,"silver maple-CC0015*01",42.732518,-84.486213,"WGS84",1
"Hannah Administration Building",781,"silver maple-CC1061*01",42.729748,-84.481062,"WGS84",1
"International Center",781,"silver maple-CC1729*01",42.72753,-84.48058,"WGS84",1
"Hannah Administration Building",781,"silver maple-CC4350*01",42.728535,-84.480221,"WGS84",1
"Beal Botanical Garden",781,"silver maple-CC4532*01",42.731688,-84.486775,"WGS84",1
"Beal Botanical Garden",781,"silver maple-CC4536*01",42.731488,-84.486446,"WGS84",1
"International Center",781,"silver maple-CC5989*01",42.727365,-84.481279,"WGS84",1
"Kresge Arts Center and Giltner Hall",781,"silver maple-CC6369*01",42.728462,-84.473202,"WGS84",1
"Kresge Arts Center and Giltner Hall",781,"silver maple-CC6369*03",42.728487,-84.473376,"WGS84",1
"Jenison Field House",781,"silver maple-CC6826*01",42.73169,-84.491279,"WGS84",1
"Jenison Field House",781,"silver maple-CC9673*01",42.7319444,-84.4869444,"WGS84",1
"South Neighborhood",781,"silver maple-CC9722*01",42.720862,-84.489278,"WGS84",1
"Hannah Administration Building",781,"silver maple-CC9876*01",42.72909,-84.48174,"WGS84",1
"Hannah Administration Building",61,"sugar maple-CC1032*01",42.729464,-84.481863,"WGS84",1
"Hannah Administration Building",61,"sugar maple-CC4331*01",42.729347,-84.481565,"WGS84",1
"Hannah Administration Building",61,"sugar maple-CC4333*01",42.729517,-84.482074,"WGS84",1
"Benefactors Plaza",61,"sugar maple-CC4423*01",42.73047,-84.478197,"WGS84",1
"Benefactors Plaza",61,"sugar maple-CC4694*01",42.730796,-84.478194,"WGS84",1
"International Center",61,"sugar maple-CC5899*02",42.727655,-84.480729,"WGS84",1
"NE Dorms",61,"sugar maple-CC6259*01",42.732052,-84.473529,"WGS84",1
"NE Dorms",61,"sugar maple-CC6259*02",42.732077,-84.473428,"WGS84",1
"NE Dorms",61,"sugar maple-CC6259*03",42.732081,-84.473323,"WGS84",1
"NE Dorms",61,"sugar maple-CC6259*04",42.732007,-84.473339,"WGS84",1
"Kresge Arts Center and Giltner Hall",61,"sugar maple-CC6392*01",42.731855,-84.475094,"WGS84",0
"NE Dorms",61,"sugar maple-CC6394*01",42.731501,-84.472709,"WGS84",1
"NE Dorms",61,"sugar maple-CC6395*01",42.731457,-84.473104,"WGS84",1
"NE Dorms",61,"sugar maple-CC6403*01",42.731545,-84.473872,"WGS84",1
"Kresge Arts Center and Giltner Hall",61,"sugar maple-CC6527*01",42.730257,-84.477517,"WGS84",1
"Kresge Arts Center and Giltner Hall",61,"sugar maple-CC6530*01",42.72978,-84.477566,"WGS84",1
"Grand River Ave",7,"eastern redbud-20000678*02",42.733741,-84.480006,"WGS84",1
"Jenison Field House",7,"eastern redbud-20030863*02",42.73103,-84.492584,"WGS84",1
"International Center",7,"eastern redbud-20210339*01",42.727915,-84.481662,"WGS84",0
"Wharton Center",7,"eastern redbud-20230403*01",42.724368,-84.471511,"WGS84",0
"Wharton Center",7,"eastern redbud-20230403*02",42.72451,-84.471318,"WGS84",0
"Benefactors Plaza",7,"eastern redbud-90P133*01",42.732422,-84.478258,"WGS84",1
"Benefactors Plaza",7,"eastern redbud-90P133*02",42.73242,-84.478059,"WGS84",1
"NW corner",7,"eastern redbud-98P065*04",42.734557,-84.484174,"WGS84",1
"Music Building",7,"eastern redbud-CC0179*01",42.732583,-84.483874,"WGS84",1
"Kresge Arts Center and Giltner Hall",7,"eastern redbud-CC1407*01",42.7302778,-84.4766667,"WGS84",1
"Shaw Hall",7,"eastern redbud-CC1628*01",42.727289,-84.475081,"WGS84",1
"Jenison Field House",7,"eastern redbud-CC2203*01",42.731271,-84.493121,"WGS84",1
"Sanford Natural Area",7,"eastern redbud-CC2925*01",42.72644,-84.467559,"WGS84",1
"Jenison Field House",7,"eastern redbud-CC3530*01",42.731667,-84.493132,"WGS84",1
"Beaumont Tower",7,"eastern redbud-CC5401*01",42.731944,-84.480556,"WGS84",1
"Sanford Natural Area",7,"eastern redbud-CC6021*01",42.7261,-84.470526,"WGS84",1
"Plant Sciences",7,"eastern redbud-CC8324*01",42.722706,-84.473877,"WGS84",1
"Beaumont Tower",7,"eastern redbud-NN0942*01",42.7319499,-84.4806774,"WGS84",1
"Grand River Ave",12,"flowering dogwood-20110608*01",42.734208,-84.482433,"WGS84",0
"Music Building",12,"flowering dogwood-20160323*01",42.7329679,-84.4838605,"WGS84",1
"Music Building",12,"flowering dogwood-CC0192*01",42.732913,-84.483748,"WGS84",0
"Beaumont Tower",12,"flowering dogwood-CC0364*01",42.73115,-84.480917,"WGS84",1
"Beal Botanical Garden",12,"flowering dogwood-CC0549*01",42.731408,-84.486002,"WGS84",1
"Beal Botanical Garden",12,"flowering dogwood-CC0959*01",42.731238,-84.484001,"WGS84",1
