"station_name","latitude","longitude","lat_lon_datum","state","country","area_of_site","area_of_site_units_id"
"Beaumont Tower",42.732166821298,-84.4816465591924,"WGS84","MI","USA",51805,313
"Benefactors Plaza",42.7313088818558,-84.4781903373965,"WGS84","MI","USA",97708,313
"Grand River Ave",42.733492440977,-84.4800586490153,"WGS84","MI","USA",80344,313
"Hannah Administration Building",42.7294493209991,-84.4805164277446,"WGS84","MI","USA",95384,313
"Beal Botanical Garden",42.7311694101452,-84.4844728302978,"WGS84","MI","USA",57048,313
"Music Building",42.7327711936971,-84.4847538969896,"WGS84","MI","USA",53571,313
"Kresge Arts Center and Giltner Hall",42.7292139254606,-84.4757047878148,"WGS84","MI","USA",122237,313
"NE Dorms",42.7306322522765,-84.4734566510533,"WGS84","MI","USA",92378,313
"Jenison Field House",42.7317508586766,-84.4908168019047,"WGS84","MI","USA",237141,313
"Sanford Natural Area",42.7272649105402,-84.466814621697,"WGS84","MI","USA",292010,313
"International Center",42.7273998876748,-84.4807647372059,"WGS84","MI","USA",107377,313
"NW corner",42.7343101605989,-84.4864720581226,"WGS84","MI","USA",87124,313
"Plant Sciences",42.7216783889092,-84.474713866068,"WGS84","MI","USA",429569,313
"Breslin to Stadium",42.7279830041774,-84.4880101750165,"WGS84","MI","USA",438706,313
"Dairy Store",42.7246108472445,-84.4801318474597,"WGS84","MI","USA",112120,313
"Shaw Hall",42.7269443279522,-84.4746987740155,"WGS84","MI","USA",90148,313
"Wharton Center",42.7245626694938,-84.4725545655054,"WGS84","MI","USA",273955,313
"South Neighborhood",42.7225623729011,-84.4881142185558,"WGS84","MI","USA",659302,313
"East Neighborhood",42.7234067644641,-84.4646844191262,"WGS84","MI","USA",168320,313
"Power Plant",42.7176061812622,-84.484457091535,"WGS84","MI","USA",497494,313
"Baker Woodlot",42.7156019249805,-84.4732856998045,"WGS84","MI","USA",486010,313
"East of Baker Woodlot",42.716960621072,-84.4669343950044,"WGS84","MI","USA",701256,313
