number,current_name,new_name
1,s_michigan_w_abbot,Delta Court
2,circle_grandriver_e_abbot,Grand River Ave
3,circle_west,Music Building
4,circle_east,Beaumont Tower
5,n_kalamazoo,Jenison Field House
6,circle_farmland_auditorium,Benefactors Plaza
7,circle_river_west,Beal Botanical Garden
8,east_of_physics,NE Dorms
9,circle_auditorium_river_east,Hannah Administration Building
10,farmland_physics_auditorium_river,Kresge Arts Center and Giltner Hall
11,breslin_stadium,Breslin to Stadium
12,redcedar_shaw_farmlane_s_river,International Center
13,ne_shaw_bogue,Sanford Natural Area
14,farmlane_shaw_bogue_s_river,Shaw Hall
15,redcedar_wilson_e_farmlane,Dairy Store
16,shaw_wilson_e_farmlane,Wharton Center
17,east_neighborhood,East Neighborhood
18,sw_shaw_redcedar,South Neighborhood
19,se_wilson_redcedar,Plant Sciences
20,west_of_baker,Power Plant
21,east_of_baker,Baker Woodlot
22,baker,East of Baker Woodlot
